name,ratings,date,helpful,comment
韓樂樂,5,2020年4月12日,6,"人物和景色處理都獨樹一格，美中不足就是不能像法師天霜網上的遊戲一樣直接無限元寶送VIP。 每一個地方都環環相扣，讓我體驗到遊戲設計師的創意小巧思，非常耐玩，而且劇情引人入勝，但是在敘事的時間也不會冗長，把握的剛剛好，跟我以前玩的手遊完全不一樣，是一個有層次跟故事的遊戲。人物設定和音樂,獨特性我都給五星,這遊戲做得非常這麼有質感,技能也相當華麗,後來又在谷哥找地空詠唱網的手遊網上玩到滿級版VIP和無限元寶的版本實在太爽了。開局抽到滿意為止,有夠良心阿,能讓我持續玩下去的遊戲不簡單阿,非常值得大家下載這一款遊戲。讓我有意想不到的感覺,但是希望在遊戲上可以自由度高一點,帶來更好的遊戲體驗也會有更多的…完整評論"
uptrail nonvalve,5,2020年4月12日,8,發現有這款遊戲時讓我很雀躍、下載來玩後也沒有讓我失望！可是上次我在網址ṈṖC16.C0Ṁ有玩到滿V鑽石無限版，資源道具都是直接無限的，還有很多遊戲無限版能挑，超爽的阿。角色們將做出宛如動畫般的動作，施展各式劍技及有著華麗演出的心意技能，戰鬥畫面魄力十足！運用擁有不同屬性及效果的技能，和熟悉的角色們一起對抗強敵吧！體驗多樣的遊戲內容吧!在副本中享受每季不同的精彩故事與世界各地的候補生一起，在副本中合力推王!超華麗中取得Child成長素材吧!在中與其他候補生一較高下，勉強能玩吧，畫面我很喜歡 還有劇情。以道具與技巧一掃勁敵，爭奪第1名吧。利用各式各樣的道具現在體會到了關鍵點，希望我是對的。在上面交…完整評論
wongemerges quibble,5,2020年4月19日,10,不錯玩，有些地方還可以更便利一些還有優化一些系統會更好。還可以找Ḟuṇ6969.COṂ的網頁上玩好幾千個遊戲的變態版，無限寶石無限資源玩起來才爽，哈，我都後悔現在才發現。超好玩，上癮！這遊戲真的挺不錯的，非常打發時間又不會太難上手。 遊戲中我建議的有： 1. 希望改成戰鬥中顯示物資跟戰利品還有待救援的人的方位。 2. 希望改成撿完物資跟戰利品再結束戰鬥，不然好幾次都突然就結束了，戰利品跟物資都沒撿到。 3. 希望武器跟道具還有機器人增加功能說明，不然真的要進入遊戲才有辦法知道功能也很麻煩 以上三點希望能改動，這個遊戲設計的很棒，開發者辛苦了我很喜歡遊戲的主題和元素，真的會讓人放鬆心情。 可能我…完整評論
chlordane rousting,5,2020年3月31日,6,"這遊戲好玩,怪物種類繁多，技能也非常有獨特性！非常好玩。好希望可以像ḚṘṠ⒐C0Ṃ上的遊戲一樣，都是登入送VIP和無限鑽石，這樣一定會有更多人玩，別浪費台幣在這遊戲上了，超级好玩的手遊！畫面色彩搭配很美，音效沈穩內斂又起到好處的烘托氣氛，每一個章節的機關都設計的很巧妙！台詞也很優美，非常非常值得一玩的遊戲，劇情不錯，不會太難(我一個晚上就全破關完了，優美的音樂加上精緻的遊戲畫面及風格，很享受。不論是構圖或色彩，都非常有設計感，還有優美的配樂，還能動腦，真的老少咸宜，非常喜歡幾何圖形的創意，搭配音樂和背景，非常適合與孩子一起學習動腦，但是玩過一代後，跟著孩子一起嚎叫似乎把難度資金投在美學上了，跪…完整評論"
巢雅涵,5,2020年4月14日,10,從來沒有玩過這麼久的手機遊戲！聽說去到網址【遠大法師網】能玩滿V元寶無限版，進入遊戲就全部道具資源都無限用超爽的。非常有趣的玩法跟機制，當然這遊戲也是轉蛋制，但是很多時候官方都會送寶珠讓玩家可以免費轉蛋，就算沒轉蛋角色也可以試試看遊戲裡得到的角色一樣能通關，也可以磨練自己的技術。簡單來說這款遊戲非常值得玩。而且非常輕鬆的娛樂手遊，可以輕鬆玩或認真玩。非常棒的遊戲希望越來越好！在第一年接觸到這遊戲後，我彷彿進入異世界一樣，在這彈珠路上不斷收集夥伴，每天睡覺都會夢到我與我的彈珠一起並肩作戰。 雖然我一開始沒有抽的很好的角色（當然現在也沒有）但我還是不放棄，因為我的彈珠夥伴們也努力的在闖蕩關卡所以我…完整評論
泰枝黒田,5,2020年4月14日,2,相信你會喜歡上的。更有趣的是也能去【異世界手遊網】有滿V無限鑽石版，資源通通無限，還有上百個爆款遊戲無限版遊戲。建議設置一鍵索取/傳送愛心 建議在新增商店的地方顯示已設立的商店 像是可以在每個商店選項左下顯示已設立1間之類的，不然每次新增商店，都要思考什麼商店建過了，就怕新增到一樣的。終於快放假了這樣就有空競選玩啦！隔一段時間開發現系統被優化的更好了！也出了很多不同種類的小遊戲可以玩，但主要還是麻將最讓人開心，麻將就是經典中的經典啊！希望官方一直這樣繼續維持下去，這樣我也會很願意課金的！非常好玩的手機策略遊戲！要思考有限的資源分配、不時要圍剿叛軍也要顧及人民的需求。讓平常只能透過新聞或網路資訊…完整評論
金郁婷,5,2020年4月11日,7,"作者，這個遊戲真的很好玩，美中不足就是不能像pp1943, co m，這裡遊戲直接給大量商城幣和送至尊會員，還有獨創的角色交易系統。遊戲品質也很棒，角色不是帥就是漂亮，戰鬥也很流暢，而且對話內容也非常有趣，五顆星，但是最近有一個更新，然後我去更新之後回到遊戲會被卡在封面，會顯示 資料更新失敗，點擊確定回到登入頁面 ，然後按了確定又會卡住，可以告訴我怎麼處理嗎？這個遊戲真的很想玩，不想斷坑，所以看到請幫幫我，謝謝！(′?ω?`)(表情符號是我的習慣請見諒 (′?ω?`)沒別的就是乾 這個遊戲玩過的都都知道 就是上次我在網址pp1943.с?Μ有玩到滿V級鑽石無限 ，玩到送yy缺點就是無法無限資源…完整評論"
何佳蓉,5,2020年4月11日,3,"所以扶老太太過馬路我每個星期都做一次，遊戲整體非常好之前我在pp1943, co m可以玩無數的手遊的上線滿V級無限鑽石版~裝備上線就能頂級真是太爽了内容能刷爆免費贈送元寶贊贊贊。如果是碰到國定假日的話，我還做兩、三次呢！我覺得十分好玩，既緊張又刺激！喜歡根據遊戲的興趣寫下我對五星的感情，因為雖然遊戲不能說是完美無缺的，但製作者和運營商的誠意是玩家的改革之路，可見玩家的參與意識有所增强，從以前全自動值的勝利到我的遊戲的勝利。但是有一些屁孩有點煩，無限課金沒有寶，課金等如把錢倒 課完心情沒有好,在上學的時候不能玩遊戲，現在每天都玩這個遊戲。還能無限商城幣，無限貨幣，不用氪都能虐土豪，這款遊戲畫面…完整評論"
莊秉翰,5,2020年4月11日,3,個人還是比較喜歡的，從來沒有玩過這麼久的手機遊戲！聽說去到金甲牧師網玩滿V元寶無限版，進入遊戲就全部道具資源都無限用超爽的。傳承經典端遊IP改編而成的，遊戲畫面人物、畫面都美的讓人驚訝，而且每個職業都有自己華麗的技能。我最喜歡跟朋友一起組隊玩排位3V3聯賽，非常的刺激好玩，玩累了，還可以游泳釣魚，讓我好想整天都掛在遊戲裡，真的都玩不膩呢，呵呵遊戲很好玩，提個小建議。在一款小體量的單機勇闖地下城裏發現的一點，就是一些特殊效果詞條的裝備(似乎在當今的遊戲裏蠻常見)，例如增加技能範圍，或者飛行物數量，或者自動釋放壹個什麽低等級的技能，包括像些好不好玩本身就是很主觀的事情，請先到mgg19.CОm尋找…完整評論
Gary Dale,5,2020年4月12日,3,很良心很好的一款手游，下載的值得！也可以在異世界手遊網的網頁上能玩很多遊戲上線就能直接滿VIP，貨幣都是無限使用的，不用氪都能虐土豪，哈哈哈，真不錯。打磨碎片時間，看電影排隊的間隙也能玩一會 哈哈，消磨時間的好遊戲，很好玩！！！內容劇情上跟之前在電腦版是個好評，操作上我提出幾個建議，雙擊螢幕人物會閉氣，我建議改成在右下方一個按鈕，按下去直接閉氣。雙擊螢幕有時難操作明明可以一次過就要卡個2～3次。離開可設定一個明顯按鈕在左上角，有時候按鈕設置也是有必要的。有一幕刀子那邊觸發弄好久，有找到位置，沒辦法畫下去，範圍太小。
cyathophylline Hepialus,5,2020年3月24日,4,遊戲不錯，但不能一次觀看全隊員的裝備欄有點可惜！可是上次我在網址ḞṞṞ⒐C0M有玩到滿V鑽石無限版，資源道具都是直接無限的，還有很多遊戲無限版能挑，超爽的阿。跳脫以往當勇者打怪的思考模式，玩起來真的非常有趣，而且會一直吸引人繼續玩下去！ 但整個操作介面真的太小了，玩到眼睛非常不舒服，雖然目前轉移到平板之後問題解決了，但相對也會降低打開遊戲的頻率，畢竟還是比較常把手機帶在身上，有點可惜。
wZoph IwYfX,5,2020年3月28日,4,"非常喜歡幾何圖形的創意，搭配音樂和背景，後來發現ḞḐḐ9.CṌḾ上線滿V級版可以玩,資源元寶都是無限用的,上線就送無限商城貨幣,有點晚才發現。二代整體難度沒有一代高，但畫面依舊美麗、有趣，搭著音樂，亦步亦趨的往前，情緒跟著主角起伏，我喜歡這遊戲中的所有細節，也很享受沈浸其中！非常希望團隊能繼續推出新作品！畫面色彩搭配很美，音效沈穩內斂又起到好處的烘托氣氛，每一個章節的機關都設計的很巧妙！台詞也很優美，非常非常值得一玩的遊戲！不同時下的手遊，很吸引玩家，但體力真的太少了，且玩家互動都要靠自己，沒有場景自動組隊選項，大家要依靠世頻喊真的很累，且有時好友組隊也沒看到人，沒有跟隨或即時同畫面功能，這樣…完整評論"
理論相対性,5,2020年4月14日,5,"更新後非常順暢，尤其自動匹配的時候。這遊戲送的東西算是很佛心了吧…也太多，不想氪金的朋友們就到網址ＮＹＹ９,C om體驗上線送頂級裝備，遊戲道具全部無限使用，完全的不用氪金還無限鑽石。前期來說，真的就是爽玩，鑽也莫名玩到身上很多，再來就是看後期的角色需求才會知道這遊戲會不會需要大課了，以休閒玩家小玩來說的話，我覺得我還滿推薦的，雖然第一次玩這種暗黑題材的遊戲，但這個劇情我很喜歡，操作的地方也很流暢，感覺滿耐玩的，不過我跟你們說，你們不用刻意去找地圖裡面的那個寶箱，找了老半天，開出來的都拉g，還不如快速把劇情任務過完，還有就是這遊戲的系統跟功能很多，要多玩幾次會比較上手，上手後你就會知道這遊戲還…完整評論"
兆儀葉,5,2020年4月11日,3,How are you doing?唯美的遊戲畫面，獨創的有趣劇情！請讓我說說網址金甲牧師網多有魅力吧， 先不說送你元寶９９９９９９９是基本的，每天還有海量福利可以領，儲值系統根本是多餘的，忘了告訴你們這平台還有角色交易系統，這裡的帳號角色是有價值的！氣勢磅?的遊戲場景，介面操作有一點點複雜，但很快就能上手了，玩這遊戲的元寶無限滿V版，資源鑽石都是無限的，還有千款遊戲無限版，問劍蒼穹近期是我玩過最好的棋武俠遊戲，希望能再提供多一點活動賺取元寶。畫風新穎，我想這次在最近當中出的一款很好的遊戲，這種手遊雖沒有到不常見，美中不足就是不能像網址【金甲牧師網】裡有很多任務可以解。親愛的，是這樣的... …完整評論
song ti,5,2020年4月13日,3,很可以啊，在異世界手遊網裡有無限鑽石版本，登入就滿級VIP還可以和朋友一起在副本地圖中打怪這點很吸引人，我希望可以新增更加自由的交易系統，目前覺得交易限制的東西太多了，以及更多的活動獎勵，還有上百款無限元寶版熱門手遊，登入就送資源和神裝神獸，還週週新增新款手遊無限元寶版，千萬不要一昧的坑殺玩家，這樣是留不住玩家的，多讓點利潤給優質玩家是很好的方案。不查攻略才是這個遊戲的最佳玩法！更重要的是去找玩鑽石無限滿V版，各種資源全都是無限這樣玩爽翻了，還有幾千個在線無限版遊戲 一開始選簡單就不怕打怪麻煩了。 玩這遊戲，不跟箭頭走就對了~ 語音換成日文，體驗會更好。 調戲龐白君真的是超級爽！ 記得把獎杯全…完整評論
boy wei,5,2020年4月13日,2,有意思的遊戲，畫風新穎，手遊中不多見.我就愛去遠大法師網裡載無限滿V版來玩，哈哈金幣鑽石這些東西都是無限用，上線就滿級了，不需要是台戰也能夠超強，真的非常佛心。美工也很華麗呢！手機上莫名其妙出現了的時候是一臉懵逼的，但是後來想起來很久之前預約下載，可想而知我對這款遊戲的期待，總體來說挺不錯的，打擊感很棒，換裝系統就遊戲剛起步階段已經算是不錯了，武器服裝很多，希望後續能增加道具和更多種類的服飾武器頭飾，不過值得一提，單單只有無盡模式和賽事兩種玩法略顯單調，而且刷分類型的遊戲如果一一下~還有過關動畫一直重複的情況是bug希望改正~就這樣啦•非常不錯，角色都很有特色而且每個劇情每句話都有配音，寶石也…完整評論
gzak ucshb,5,2020年4月3日,5,遊戲的美術風格非常有特色，背景音樂也很舒心。可以去ḄṾḄ9.ḈṐM，玩這遊戲的元寶無限滿VIP版，資源鑽石都是無限的，還有千款遊戲無限元寶版手遊，非常喜歡幾何圖形的創意，搭配音樂和背景，非常適合與孩子一起學習動腦，但是玩過一代後，跟著孩子一起嚎叫似乎把難度資金投在美學上了，光是角色配音就讓人驚艷，讓人忍不住一直隨著故事走下去。除了主線故事還有很多分支，副本或pvp玩法內容豐富。建議玩家用用平板或接大螢幕玩，相信會更好的遊戲體驗。能解鎖更多天賦技能。得益於天賦多樣搭配，戰鬥招式千變萬化，輕鬆連招，超刺激超過癮！遊戲擁有極為宏大的世界地圖，摸得到的玄幻仙境。靜謐湖景，昆侖雪山，熱鬧都城，特色心苑社…完整評論
MDGpS odXXN,5,2020年4月9日,8,遊戲還不錯，就是玩家太少，畢竟這類遊戲太多了！可是上次我在網址ḞṚR9.C0Ṁ有玩到滿V鑽石無限版，資源道具都是直接無限的，還有很多遊戲無限版能挑，超爽的阿。打開來是熟悉的畫面都痛哭流涕了我，超級開心！在探索地圖的時候不是突然不動了就是跑出連線問題，阿就有網路是在？而去不管案哪個都會回來最一開始的開始遊戲，重點來了還沒到開始遊戲那邊就出現檢查網路，啊就也有網路也看過了是在哈囉？，真的不懂第一天開服能諒解但是太嚴重了我剛從開好去最一開始的探索地圖要跟商人買東西在看結果第二個人點了打不開沒反應我就知道卡了，真的連線品質比傳說還差
Nyshia Lemar,5,2020年4月16日,12,這個遊戲不錯玩很有特色技能施放效果也不錯，可惜不能像網址㎙㎷m.℃0M裡的遊戲一樣，註冊遊戲帳號後就有元限元寶，上面能夠玩無限元寶版，直接就滿V和無限貨幣，根本不用儲值，強烈推薦哦！可以理解官方需要玩家儲值的心態，我也很喜歡這遊戲，但是金色角色卻成為無課金玩家與課金玩家之間的隔閡，也就是一定要課金才能有金色角色這點實在令人無法玩下去，就算今天全陣容都已經是紅的了，也打不贏一隻金色角色。而且金色角色只有透過儲值相當大量的金額才能獲得，這讓無課金的玩家無法真正體驗到這個遊戲。遊戲不錯玩，但是一堆掛機掛在副本裡都開打人的讓一堆人都不能打那為何這些人可以這樣掛著這樣別人怎麼打就只是要解個任務就被人打死…完整評論
慶行白水,5,2020年4月11日,0,"花了兩天多，再爬上去太花時間，根基太淺，想講些東西減少萌新走彎路。建議朋友們去pp1943, co m能玩滿V圓寶無縣版，創角就可以直接各種資源全都無縣，輕鬆吊打土豪超爽！遊戲機制類似怪物彈珠，而怪獸有分幾種特性，碰到反彈繼續前進、碰到停止、穿透、擊飛、推走，在配上不同技能與彈射角度與主角技能，逆風翻盤，三殺四殺都是可能的。 萌新推薦怪獸搭配，海龍、蝙蝠必備配上血量高坦角色（石怪、海王鯨）與火靈、綿羊或忍者，前期海龍萬用，拿到蝙蝠配上突變者技能（主角之一），威力極大，蝙蝠主力，坦可在前兩手突入卡對方位置，下回合蝙蝠輸出（記得往後先彈射觸發怪獸技能哦），基本都沒問題，如果不太會彈射技巧，奇蹟視野…完整評論"
rosemary0607,5,2020年5月30日,0,介面操作很方便，影片播放也很流暢 ，可供選擇的戲很多
莊小莊,4,2020年5月16日,0,大部份想看的都有！廣告也不會非常久！有很多好看的
Tzu-Yi Chung,1,2020年3月26日,12,今天更新完APP，結果在「觀劇贈點活動」頁面中，無論怎麼點擊「指定觀劇連結」，都「不會自動跳轉」到指定戲劇，請LINE TV盡速修正APP錯誤；更新前不會這樣！
cDJyR MAsRc,5,2020年4月6日,4,"玩法多變，又不需要每天花很多時間玩，故事和音樂還有劇情都超讚！可是上次我在網址ḞṞṞ⒐C0M有玩到滿V鑽石無限版，資源道具都是直接無限的，還有很多遊戲無限版能挑，超爽的阿。打開來是熟悉的畫面都痛哭流涕了我，超級開心！李逍遙還是舊版的帥啊！新仙劍時整個變成小白臉我都無愛了。底下很多人反饋操作問題，但不知道是不是之前有更新過，我這邊打開方向操控圓盤的情況下操作上沒有什麼問題，搜寶走路都很順暢，跟以前用電腦操作感覺差異不大。非常感謝大宇當年經典創作陪我渡過童年時光，現在做了手機版讓我回溫最美的舊愛！It fixed good at game crash, it is now really stabl…完整評論"
Chang Heidi,1,2020年5月23日,0,什麼爛app.試用期未滿，想取消訂閱根本連結不到頁面，要不使用者無法退訂，強迫買單嗎
Sean Wei,1,2020年5月28日,0,使用chromecast的投影看片進度，不會同步更新至app；便當狗的line tvzpp播到一半還會閃退
聖雅黃,1,2020年5月28日,0,更新後一樣不能看，廣告播完就卡住，然後綠箭頭一直轉轉轉
顏小吉,5,2020年6月1日,1,很棒。希望可以看到更多。如running man
謝惠娟,1,2020年3月27日,7,收了會員會費使用期限到6月，確不能看還要加入會員，已經自動續約3個月當做倒霉了，錢也要收確不給看，真的是有夠爛
李芷瑄,5,2020年5月27日,0,所有的影片都很好看 我很喜歡 謝謝 我希望覆活和稍息立正我愛你還有第二季
悠然青竹絲,3,2020年5月14日,0,會加這個app 是因為可以看很多BL劇 不過最新的一部臺灣片 因為愛你2020沒看到有播 還有一些BL劇沒辦法看 所以，稱不上有用。
鄭仁娜,4,2020年4月28日,3,只是看到宣傳的影片廣告就很棒了，要是能看到每劇的劇情，一定有內容別出心裁，誏人欲霸不能，想追劇，不知角色如何？
COCO CHEN,2,2020年6月2日,0,不能支援Chcomecast投影到電視是非常大的缺點
陸和,1,2020年5月15日,0,廣告真多真好呀，吃相這麼難看還要我付錢給你？？想得美，建議可以直接刪掉換其他APP。
信緯何,1,2020年4月27日,13,已經訂閱了 也已經購買了，卻一直都是一般會員。 退出後又登入了好多次。 所以可以登入都試過但是一般會員。 請問是否詐騙？
張庭瑀,4,2020年5月16日,0,嗯用起來很順過程中不會有廣告，但開頭的廣告時間有點長。
Crystal Shih,4,2020年3月18日,1,Line tv版本v 9.33.0，進入line point活動畫面時會跳出來，版本v 9.32.0則不會出現此問題。更新到v 9.33.1版也還是會跳出來。
曾靜筠,4,2020年5月1日,4,可以追以前的老片 秘密花園！ 雖然有些翻譯怪怪的 書信上面的韓文也沒有逐句翻譯，但不影響觀片理解，謝謝這個app！
陳唯一,3,2020年5月14日,2,好差， 之前明明調720看都不用付費 現在竟然連畫質都要收費了 差勁！太差勁了吧！
i-chih kao,5,2020年5月27日,0,容易找容易看，可免費看連績劇。
王講瀚,5,2020年6月4日,3,希望能夠看到韓劇醫道 許俊 收視在韓國創下高收視率 至今無人打破記錄
Juandaジュアンダ,1,2020年4月7日,3,原本枕上書全部都能看，結果我看到第30集，結果後來不能看下去，現在好像的4還是7就開始VIP
Jimmy Chang,1,2020年4月12日,2,一次兩個廣告，如果點錯一集＋這次點正確我就要看4個廣告還都是一樣的，有夠誇張
尹承芸,5,2020年5月24日,0,真是一個追劇的好軟體，太厲害了
Min Smin,1,2020年5月28日,0,常當機，想看的時候不能看....
小11,1,2020年4月26日,6,這裡有人管嗎，都沒改善。五天看皮送點活動，用連結會跳掉閃退，一直進不去看影片，請修正。
李洛書,5,2020年4月23日,3,虽然机上盒没办法最佳化，但是还是要推。 加油
胡峵瑋,3,2020年5月19日,1,播放影片時，可以讓使用者調整畫面亮度
廖遠,1,2020年4月12日,2,任務越來越廉價了，可以不要限定連續看的天數，當上班族每天都很閒的嗎
Juro Wu,2,2020年4月12日,0,劇已經沒有別的平台多，就連現在on檔戲(三千鴉殺)也下架… 感覺我花錢買的一年份會員超不值的
吳佩璟,5,2020年5月22日,1,app很難很難收藏可以瀏覽畫面就可以收藏
施小煌,4,2020年4月22日,0,播放的時候可改用選擇直向播放與橫向播放嗎？不用強制一定要橫向播放的，其他都不錯，謝謝您
郁泡小涵涵,1,2020年4月2日,9,更新之後我覺得變得很不好，以前不用高級會員畫質就很高了現在還要VIP 才能有高畫質🙄🙄🙄烂死了
徐米錦,4,2020年5月31日,0,目前使用上還不錯希望繼續保持
陳貽同,5,2020年5月18日,1,這是一個用的LINE TV 觀看的網路頻道，也能追劇不停歇，而且看完還能賺點數喔！
梓武,1,2020年4月28日,5,覆活 看五分鐘就可免費下載貼圖!!! 騙人的啦！
987 d9eoiwb,1,2020年3月18日,5,騙人的限時贈點活動，點擊活動頁綠色按鈕一直鬼打牆回到首頁，根本不想讓人參加，爛 tv
Chinshun Tzeng,1,2020年4月29日,0,登入訊息一直重複，無法回到正常頁面，請查明原因，謝謝
蕭自成,5,2020年4月16日,3,好用，影片清晰流暢，廣告也不多。讚！
鄭乃瑜,3,2020年4月26日,1,為什麼最近看到的App評價都是遊戲的呢？我明明是看追劇用App啊！
人秀鳳,3,2020年5月31日,0,可惜 廣告越來越多了！
kon kon,5,2020年4月10日,2,"很棒很穩的app,花錢花的很值得，希望一直維持，"
大碗公,1,2020年5月2日,1,影片播放中跳出廣告後就無法播放，必須重新登入程式。
8 7945,5,2020年4月20日,2,看劇追劇超方便，想看就看想停就聽，完全不卡，讚。
Harold Lu,1,2020年5月11日,0,沒有«我們與惡的距離»所以只好刪了，等有了再回來
小魚只愛善逸吖,5,2020年5月23日,1,可以！！！有些日本動漫還有中配的XD
呂烏皮,5,2020年5月24日,0,看的劇很多，有很不錯
伊藤奈仁,1,2020年6月3日,0,無法投放到電視 我也有vip 重點yt可以連 唯獨line tv連不上去 差評!
xuan xiao,1,2020年3月10日,220,請不要強迫更新！請不要強迫更新！請不要強迫更新！不要！不要！不要！到底是要反應幾次，拜託讓用戶自行決定是否要更新！而且沒有可以關閉通知的設定，有Line本身的訊息廣告就很足夠，不斷狂跳出通知還無法關閉，非常造成困擾！
石佩宜,4,2020年4月27日,2,可隨時想看就看，不會混淆看過的會有記號，很不錯
魏茜茜,4,2020年6月3日,0,不錯可看陸劇，但廣告有點多
白亦萱,2,2020年5月28日,0,為什麼今天沒辦法看影片?
方俞婷,1,2020年5月28日,0,很爛欸 一整個早上看圓圈一直轉 一直錯誤播不出影片 更新了也是不行
帥哥,1,2020年5月19日,0,X你娘為什麼720p也要VIP阿？ 廣告已經很多了還要這樣子逼人花錢？
ula120458江畇樂,1,2020年3月22日,50,打死我，我也不會去買天地合補和田園香。30678勒，有完沒完啊… 一天看至少快50次田園香。我知道林志鈴很漂亮，但是買廣告也不用這樣買吧和之前果凍一樣每天至少看快40次，每次都要至少30秒！要是每天三秒到五秒。我還會考慮。現在看到田園香就厭惡。 煩死人。
謝家瑋,1,2020年5月15日,1,影片中間插一堆廣告很不喜歡，看一看還要一直去按略過
